标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价,文本,文本1,文本2,文本3,文本4,文本5,文本6,文本7,文本8,文本9,文本10,文本11,文本12,文本13,文本14,文本15,文本16,文本17
捷途山海L6 2024款 1.5TD DHT ULTRA,捷途,https://www.dongchedi.com/usedcar/18376052,石家庄,2025年 , 0.01万公里,0,14.49万,11.30万,捷途山海L6 2024款 1.5TD DHT ULTRA,石家庄,2025年1月,自动,14.49万,奇瑞汽车,紧凑型SUV,插电式混合动力,1.5T 156马力 L4 插电式混动,91,91,115(156Ps),150(204Ps),310,180,1499,插电式混合动力 204马力,150
雅阁 PHEV 2023款 e:PHEV 旗舰版,本田,https://www.dongchedi.com/usedcar/18265013,深圳,2023年 , 0.98万公里,0,25.88万,15.88万,雅阁 PHEV 2023款 e:PHEV 旗舰版,深圳,2023年7月,自动,25.88万,广汽本田,中型车,插电式混合动力,2.0L 148马力 L4 插电式混动,82,106,109(148Ps),135(184Ps),335,174,1993,插电式混动 184马力,135
宝马iX3 2023款 创领型,宝马,https://www.dongchedi.com/usedcar/17706877,北京,2024年 , 1万公里,0,44.50万,21.80万,宝马iX3 2023款 创领型,北京,2024年1月,自动,44.5万,华晨宝马,中型SUV,纯电动,纯电动 286马力,535,535,400,电动车单速变速箱,5门5座SUV,1.75,励磁/同步,三元锂电池,8年或16万公里
腾势D9 DM 2022款 970 四驱尊荣型,腾势,https://www.dongchedi.com/usedcar/17434192,重庆,2023年 , 3.36万公里,0,40.58万,28.38万,腾势D9 DM 2022款 970 四驱尊荣型,重庆,2023年9月,自动,40.58万,腾势汽车,中大型MPV,插电式混合动力,1.5T 139马力 L4 插电式混动,145,180,30-80,299,E-CVT无级变速,7.9,1497,插电式混动 292马力,215
宝马i5 2024款 eDrive35L 尊享型 M运动套装,宝马,https://www.dongchedi.com/usedcar/18093715,杭州,2024年 , 0.60万公里,0,46.59万,28.88万,宝马i5 2024款 eDrive35L 尊享型 M运动套装,杭州,2024年6月,自动,46.59万,华晨宝马,中大型车,纯电动,纯电动 286马力,536,536,410,电动车单速变速箱,4门5座三厢车,1.76,励磁/同步,三元锂电池,8年或16万公里
欧拉黑猫 2022款 301km 基础型 三元锂,欧拉,https://www.dongchedi.com/usedcar/17301867,镇江,2021年 , 4.05万公里,0,8.48万,3.50万,欧拉黑猫 2022款 301km 基础型 三元锂,镇江,2021年3月,自动,8.48万,长城汽车,微型车,纯电动,纯电动 48马力,301,快充0.5小时 慢充9小时,电动车单速变速箱,3495x1660x1560,102,3年或12万公里,永磁/同步,三元锂电池,28.5
Model 3 2023款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18434959,合肥,2024年 , 1.19万公里,0,23.19万,18.30万,Model 3 2023款 后轮驱动版,合肥,2024年5月,自动,23.19万,特斯拉中国,中型车,纯电动,纯电动 264马力,606,606,194(264Ps),340,4720x1848x1442,11.3,永磁/同步,磷酸铁锂电池,8年或16万公里
长安UNI-Z PHEV 2024款 蓝鲸智电iDD 125KM 超越型,长安,https://www.dongchedi.com/usedcar/17824990,台州,2024年 , 0.85万公里,0,12.49万,10.86万,长安UNI-Z PHEV 2024款 蓝鲸智电iDD 125KM 超越型,台州,2024年8月,自动,12.49万,长安汽车,紧凑型SUV,插电式混合动力,1.5L 98马力 L4 插电式混动,95,95,30-80,72(98Ps),125,5门5座SUV,1497,插电式混动 215马力,158
腾势D9 DM 2022款 970 四驱尊荣型,腾势,https://www.dongchedi.com/usedcar/17676476,深圳,2024年 , 2.30万公里,2,40.58万,26.98万,腾势D9 DM 2022款 970 四驱尊荣型,深圳,2024年1月,自动,40.58万,腾势汽车,中大型MPV,插电式混合动力,1.5T 139马力 L4 插电式混动,145,180,30-80,299,E-CVT无级变速,7.9,1497,插电式混动 292马力,215
奔驰S级PHEV 2023款 S 450 e L,奔驰,https://www.dongchedi.com/usedcar/18351999,苏州,2023年 , 1.20万公里,0,126.77万,73.98万,奔驰S级PHEV 2023款 S 450 e L,苏州,2023年5月,自动,126.77万,奔驰(进口),大型车,插电式混合动力,3.0T 299马力 L6 插电式混动,108,108,450,440,5290x1921x1503,7.3,2999,插电式混合动力 150马力,110
零跑C01 2023款 525舒享版,零跑汽车,https://www.dongchedi.com/usedcar/18115932,青岛,2023年 , 4.50万公里,0,14.98万,9.38万,零跑C01 2023款 525舒享版,青岛,2023年4月,自动,14.98万,零跑汽车,中大型车,纯电动,纯电动 272马力,525,525,360,电动车单速变速箱,4门5座三厢车,1.53,永磁/同步,磷酸铁锂电池,62.8
Model 3 2021款 标准续航后驱升级版 3D6,特斯拉,https://www.dongchedi.com/usedcar/18256068,上海,2021年 , 8.40万公里,1,25.17万,11.68万,Model 3 2021款 标准续航后驱升级版 3D6,上海,2021年6月,自动,25.174万,特斯拉中国,中型车,纯电动,纯电动 299马力,468,快充1小时 慢充10小时,电动车单速变速箱,4694x1850x1443,225,3001.0元,永磁/同步,磷酸铁锂电池,55
海鸥 2024款 荣耀版 305KM 活力版,比亚迪,https://www.dongchedi.com/usedcar/18317630,苏州,2024年 , 2万公里,0,6.98万,4.98万,海鸥 2024款 荣耀版 305KM 活力版,苏州,2024年4月,自动,6.98万,比亚迪,小型车,纯电动,纯电动 75马力,305,305,135,电动车单速变速箱,5门4座两厢车,9.6,永磁/同步,磷酸铁锂电池,弗迪
长安UNI-Z PHEV 2024款 蓝鲸智电iDD 125KM 超越型,长安,https://www.dongchedi.com/usedcar/17314983,银川,2024年 , 0.51万公里,1,12.49万,10.98万,长安UNI-Z PHEV 2024款 蓝鲸智电iDD 125KM 超越型,银川,2024年8月,自动,12.49万,长安汽车,紧凑型SUV,插电式混合动力,1.5L 98马力 L4 插电式混动,95,95,30-80,72(98Ps),125,5门5座SUV,1497,插电式混动 215马力,158
smart精灵#3 2023款 Pulse四驱版,smart,https://www.dongchedi.com/usedcar/18425125,南京,2023年 , 3.75万公里,1,23.99万,15.25万,smart精灵#3 2023款 Pulse四驱版,南京,2023年5月,自动,23.99万,smart,紧凑型SUV,纯电动,纯电动 428马力,520,520,543,电动车单速变速箱,5门5座SUV,1.61,永磁/同步,三元锂电池,8年或15万公里
ARIYA 艾睿雅 2022款 两驱长续航顶配版,日产,https://www.dongchedi.com/usedcar/17490128,深圳,2022年 , 5.50万公里,0,29.78万,12.80万,ARIYA 艾睿雅 2022款 两驱长续航顶配版,深圳,2022年10月,自动,29.78万,东风日产,紧凑型SUV,纯电动,纯电动 242马力,623,623,300,电动车单速变速箱,5门5座SUV,1.8,励磁/同步,三元锂电池,90
翼真L380 2024款 140kWh 6座 四驱 Ultra,吉利银河,https://www.dongchedi.com/usedcar/18102440,上海,2024年 , 3万公里,0,47.99万,30.98万,翼真L380 2024款 140kWh 6座 四驱 Ultra,上海,2024年9月,自动,47.99万,LEVC,中大型MPV,纯电动,纯电动 544马力,805,快充0.5小时 慢充20小时,电动车单速变速箱,5316x1998x1920,180,,永磁/同步,三元锂电池,8年或20万公里
问界M7 2024款 Ultra五座后驱智驾版,AITO,https://www.dongchedi.com/usedcar/18491756,苏州,2024年 , 1.20万公里,1,28.98万,23.58万,问界M7 2024款 Ultra五座后驱智驾版,苏州,2024年6月,自动,28.98万,赛力斯汽车,中大型SUV,增程式,增程式 272马力,175,200,快充0.5小时 慢充5小时,30-80,360,190,1499,增程式 272马力,200
宋PLUS EV 2024款 荣耀版 520KM尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18490347,温州,2024年 , 3.10万公里,0,15.98万,10.38万,宋PLUS EV 2024款 荣耀版 520KM尊贵型,温州,2024年3月,自动,15.98万,比亚迪,紧凑型SUV,纯电动,纯电动 204马力,520,520,310,电动车单速变速箱,5门5座SUV,13.7,永磁/同步,磷酸铁锂电池,比亚迪
深蓝SL03 2022款 1200增程版,深蓝汽车,https://www.dongchedi.com/usedcar/18279062,天津,2022年 , 4.90万公里,1,17.19万,8.38万,深蓝SL03 2022款 1200增程版,天津,2022年10月,自动,17.19万,深蓝汽车,中型车,增程式,增程式 218马力,200,200,160(218Ps),320,4820x1890x1480,0.75,1480,增程式 218马力,160
沃尔沃EM90 2025款 Ultra 六座,沃尔沃,https://www.dongchedi.com/usedcar/17972517,深圳,2024年 , 0.50万公里,0,81.80万,66.88万,沃尔沃EM90 2025款 Ultra 六座,深圳,2024年5月,自动,81.8万,沃尔沃亚太,中大型MPV,纯电动,纯电动 272马力,738,738,343,电动车单速变速箱,5门6座MPV,6年不限里程,永磁/同步,三元锂电池,8年或16万公里
揽胜运动版PHEV 2018款 P400e,路虎,https://www.dongchedi.com/usedcar/17760882,成都,2019年 , 8万公里,1,90.80万,36.80万,揽胜运动版PHEV 2018款 P400e,成都,2019年7月,自动,90.8万,路虎(进口),中大型SUV,插电式混合动力,2.0T 301马力 L4 插电式混动,51,慢充7.5小时,8挡手自一体,4879x2073x1803,220,23726.0元,1997,插电式混动 116马力,85
红旗HQ9 PHEV 2024款 四驱商务版,红旗,https://www.dongchedi.com/usedcar/17347251,北京,2024年 , 0.02万公里,0,35.88万,29.38万,红旗HQ9 PHEV 2024款 四驱商务版,北京,2024年12月,自动,35.88万,一汽红旗,中大型MPV,插电式混合动力,2.0T 163马力 L4 插电式混动,73,73,20-80,300,1挡DHT,7.7,1989,插电式混合动力 286马力,210
宝马i7 2023款 eDrive50L 尊享型 M运动套装,宝马,https://www.dongchedi.com/usedcar/14977760,南昌,2024年 , 0.01万公里,0,116.90万,66.80万,宝马i7 2023款 eDrive50L 尊享型 M运动套装,南昌,2024年3月,自动,116.9万,宝马(进口),大型车,纯电动,纯电动 456马力,640,640,650,电动车单速变速箱,4门5座三厢车,2.06,励磁/同步,三元锂电池,101.7
ID.6 CROZZ 2022款 长续航PRO版,大众,https://www.dongchedi.com/usedcar/17974375,遵义,2023年 , 1.30万公里,0,29.39万,16.88万,ID.6 CROZZ 2022款 长续航PRO版,遵义,2023年3月,自动,29.39万,一汽-大众,中大型SUV,纯电动,纯电动 204马力,601,快充0.67小时 慢充12.5小时,电动车单速变速箱,4891x1848x1679,160,1.63,永磁/同步,三元锂电池,84.8
ID.4 X 2021款 Pure 纯净版,大众,https://www.dongchedi.com/usedcar/17814177,苏州,2022年 , 4.68万公里,1,19.99万,8.99万,ID.4 X 2021款 Pure 纯净版,苏州,2022年2月,自动,19.9888万,上汽大众,紧凑型SUV,纯电动,纯电动 170马力,402,快充0.67小时 慢充8.5小时,电动车单速变速箱,4612x1852x1640,160,3376.0元,永磁/同步,三元锂电池,8年或16万公里
元PLUS 2022款 510KM 旗舰型PLUS,比亚迪,https://www.dongchedi.com/usedcar/17419437,石家庄,2022年 , 3.40万公里,0,16.78万,8.95万,元PLUS 2022款 510KM 旗舰型PLUS,石家庄,2022年6月,自动,16.78万,比亚迪,紧凑型SUV,纯电动,纯电动 204马力,510,快充0.5小时 慢充8.64小时,电动车单速变速箱,4455x1875x1615,160,6年或15万公里,永磁/同步,磷酸铁锂电池,比亚迪
理想L6 2024款 Pro版,理想汽车,https://www.dongchedi.com/usedcar/18491922,成都,2024年 , 1万公里,0,24.98万,20.62万,,,,,16.78万,比亚迪,紧凑型SUV,纯电动,纯电动 204马力,510,快充0.5小时 慢充8.64小时,电动车单速变速箱,4455x1875x1615,160,6年或15万公里,永磁/同步,磷酸铁锂电池,比亚迪
宝马iX1 2023款 xDrive30L X设计套装,宝马,https://www.dongchedi.com/usedcar/17967541,北京,2023年 , 1.90万公里,0,33.99万,16.98万,宝马iX1 2023款 xDrive30L X设计套装,北京,2023年10月,自动,33.99万,华晨宝马,紧凑型SUV,纯电动,纯电动 313马力,450,450,494,电动车单速变速箱,5门5座SUV,1.84,励磁/同步,三元锂电池,8年或16万公里
秦PLUS DM 2024款 荣耀版 DM-i 55KM 领先型,比亚迪,https://www.dongchedi.com/usedcar/17596597,石家庄,2024年 , 0.01万公里,0,7.98万,6.68万,秦PLUS DM 2024款 荣耀版 DM-i 55KM 领先型,石家庄,2024年11月,自动,7.98万,比亚迪,紧凑型车,插电式混合动力,1.5L 110马力 L4 插电式混动,46,55,81(110Ps),132(180Ps),316,185,1498,插电式混动 180马力,132
熊猫 2024款 200km 熊猫mini 耐力熊,吉利汽车,https://www.dongchedi.com/usedcar/18065226,青岛,2025年 , 0.01万公里,0,4.99万,2.98万,熊猫 2024款 200km 熊猫mini 耐力熊,青岛,2025年2月,自动,4.99万,吉利汽车,微型车,纯电动,纯电动 41马力,200,200,110,电动车单速变速箱,3门4座两厢车,9.4,永磁/同步,磷酸铁锂电池,首任车主不限年限/里程（责任免除条款以官方为准）
理想L8 2023款 Pro版,理想汽车,https://www.dongchedi.com/usedcar/18389680,石家庄,2023年 , 3万公里,1,35.98万,24.58万,理想L8 2023款 Pro版,石家庄,2023年10月,自动,35.98万,理想汽车,中大型SUV,增程式,增程式 449马力,175,175,"●
400V",快充0.5小时 慢充6.5小时,330(449Ps),5门6座SUV,1496,增程式 449马力,330
奔驰EQE 2025款 EQE 500 4MATIC 先锋版,奔驰,https://www.dongchedi.com/usedcar/17967727,无锡,2025年 , 0.01万公里,1,47.80万,28.80万,奔驰EQE 2025款 EQE 500 4MATIC 先锋版,无锡,2025年1月,自动,47.8万,北京奔驰,中大型车,纯电动,纯电动 408马力,681,681,858,电动车单速变速箱,4门5座三厢车,1.76,永磁/同步,三元锂电池,10年或25万公里
五菱宏光MINIEV 2024款 215km青春版 磷酸铁锂,五菱汽车,https://www.dongchedi.com/usedcar/18403832,长沙,2025年 , 0.01万公里,0,4.08万,3.48万,五菱宏光MINIEV 2024款 215km青春版 磷酸铁锂,长沙,2025年3月,自动,4.08万,上汽通用五菱,微型车,纯电动,纯电动 41马力,215,215,92,电动车单速变速箱,3门4座两厢车,1.02,永磁/同步,磷酸铁锂电池,首任车主不限年限/不限里程（责任免除条款以官方为准）
宋Pro DM 2024款 DM-i 荣耀版 71km 领航型,比亚迪,https://www.dongchedi.com/usedcar/17857155,石家庄,2024年 , 0.98万公里,0,10.98万,10.76万,宋Pro DM 2024款 DM-i 荣耀版 71km 领航型,石家庄,2024年5月,自动,10.98万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,59,71,81(110Ps),145(197Ps),325,170,1498,插电式混动 197马力,145
小鹏P7 2022款 670N+,小鹏汽车,https://www.dongchedi.com/usedcar/14571942,杭州,2022年 , 3.50万公里,1,28.59万,13.98万,小鹏P7 2022款 670N+,杭州,2022年1月,自动,28.59万,小鹏汽车,中型车,纯电动,纯电动 267马力,670,670,390,电动车单速变速箱,4门5座三厢车,1.5,永磁/同步,三元锂电池,8年或16万公里
Model Y 2023款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18480122,南京,2023年 , 5.30万公里,0,25.89万,14.88万,,,,,28.59万,小鹏汽车,中型车,纯电动,纯电动 267马力,670,670,390,电动车单速变速箱,4门5座三厢车,1.5,永磁/同步,三元锂电池,8年或16万公里
ID.4 CROZZ 2022款 长续航Lite PRO版,大众,https://www.dongchedi.com/usedcar/17974418,遵义,2023年 , 1.50万公里,0,25.54万,13.68万,ID.4 CROZZ 2022款 长续航Lite PRO版,遵义,2023年4月,自动,25.54万,一汽-大众,紧凑型SUV,纯电动,纯电动 204马力,600,快充0.67小时 慢充12.5小时,电动车单速变速箱,4592x1852x1629,160,1.62,永磁/同步,三元锂电池,8年或16万公里
蔚来ET5T 2024款 75kWh,蔚来,https://www.dongchedi.com/usedcar/16497259,石家庄,2024年 , 0.01万公里,0,29.80万,17.30万,蔚来ET5T 2024款 75kWh,石家庄,2024年10月,自动,29.8万,蔚来,中型车,纯电动,纯电动 490马力,530,530,360(490Ps),700,4790x1960x1499,16.2,前感应/异步后永磁/同步,磷酸铁锂电池+三元锂电池,首任车主10年不限里程质保（责任免除条款以官方为准）
宝马iX1 2023款 xDrive30L M运动套装,宝马,https://www.dongchedi.com/usedcar/18002181,潍坊,2023年 , 2万公里,0,33.99万,15.68万,宝马iX1 2023款 xDrive30L M运动套装,潍坊,2023年10月,自动,33.99万,华晨宝马,紧凑型SUV,纯电动,纯电动 313马力,450,450,494,电动车单速变速箱,5门5座SUV,1.84,励磁/同步,三元锂电池,8年或16万公里
奔驰C级PHEV 2024款 改款 C 350 eL,奔驰,https://www.dongchedi.com/usedcar/17644146,佛山,2024年 , 0.60万公里,0,40.90万,25.88万,奔驰C级PHEV 2024款 改款 C 350 eL,佛山,2024年2月,自动,40.9万,北京奔驰,中型车,插电式混合动力,2.0T 204马力 L4 插电式混动,105,105,440,9挡手自一体,4门5座三厢车,19.1,1999,插电式混动 129马力,95
雷克萨斯NX PHEV 2022款 400h+ 畅悦版,雷克萨斯,https://www.dongchedi.com/usedcar/18074528,温州,2021年 , 3.70万公里,0,42.88万,23.80万,雷克萨斯NX PHEV 2022款 400h+ 畅悦版,温州,2021年12月,自动,42.88万,雷克萨斯,中型SUV,插电式混合动力,2.5L 185马力 L4 插电式混动,76,76,195,228,E-CVT无级变速,7.9,2487,插电式混动 182马力,134
银河E8 2024款 665km 星舰 智驾版,吉利银河,https://www.dongchedi.com/usedcar/18316982,成都,2024年 , 2.30万公里,0,21.88万,13.20万,银河E8 2024款 665km 星舰 智驾版,成都,2024年3月,自动,21.88万,吉利银河,中大型车,纯电动,纯电动 272马力,665,665,200(272Ps),343,5010x1920x1465,12.9,永磁/同步,磷酸铁锂电池,衢州极电
问界M9 2024款 增程 Max 六座版,AITO,https://www.dongchedi.com/usedcar/18300334,深圳,2024年 , 0.10万公里,0,46.98万,43.80万,,,,,21.88万,吉利银河,中大型车,纯电动,纯电动 272马力,665,665,200(272Ps),343,5010x1920x1465,12.9,永磁/同步,磷酸铁锂电池,衢州极电
风云T9 2024款 120km 长续航版舒适型 三元锂,奇瑞风云,https://www.dongchedi.com/usedcar/18079420,银川,2024年 , 3.12万公里,0,14.29万,11.56万,风云T9 2024款 120km 长续航版舒适型 三元锂,银川,2024年5月,自动,14.29万,奇瑞汽车,中型SUV,插电式混合动力,1.5T 156马力 L4 插电式混动,100,100,快充0.33小时 慢充3小时,30-80,530,180,1499,插电式混动 204马力,150
小鹏P7 2024款 P7i 702 Max鹏翼版,小鹏汽车,https://www.dongchedi.com/usedcar/15333249,杭州,2024年 , 0.40万公里,1,28.99万,18.80万,小鹏P7 2024款 P7i 702 Max鹏翼版,杭州,2024年5月,自动,28.99万,小鹏汽车,中型车,纯电动,纯电动 276马力,702,702,203(276Ps),440,4888x1896x1450,13.8,永磁/同步,三元锂电池,8年或16万公里
问界M5 2022款 增程后驱标准版,AITO,https://www.dongchedi.com/usedcar/15949095,杭州,2023年 , 1.60万公里,1,25.98万,14.88万,问界M5 2022款 增程后驱标准版,杭州,2023年7月,自动,25.98万,赛力斯汽车,中型SUV,增程式,增程式 272马力,200,快充0.75小时 慢充5小时,电动车单速变速箱,4770x1930x1625,200,2.24,1499,增程式 272马力,200
哪吒L 2024款 增程版 310闪充红衣版,哪吒汽车,https://www.dongchedi.com/usedcar/18493956,佛山,未上牌 , 0.01万公里,-1,15.99万,9.90万,哪吒L 2024款 增程版 310闪充红衣版,佛山,未上牌,自动,15.99万,合众汽车,中型SUV,增程式,增程式 231马力,210,210,快充0.32小时,30-80,310,180,1499,增程式 231马力,170
宝马XM 2023款 4.4T 标准型,宝马,https://www.dongchedi.com/usedcar/17662116,佛山,2023年 , 0.07万公里,0,230.00万,152.80万,宝马XM 2023款 4.4T 标准型,佛山,2023年11月,自动,230万,宝马M,大型SUV,插电式混合动力,4.4T 490马力 V8 插电式混动,79,78,800,8挡手自一体,5门5座SUV,28.7,4395,插电式混合动力 211马力,155
Model Y 2021款 标准续航后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18232927,济南,2021年 , 6万公里,0,29.18万,14.70万,Model Y 2021款 标准续航后轮驱动版,济南,2021年10月,自动,29.184万,特斯拉中国,中型SUV,纯电动,纯电动 299马力,525,快充1小时 慢充10小时,电动车单速变速箱,4750x1921x1624,217,1655.0元,永磁/同步,磷酸铁锂电池,60
汉DM 2024款 DM-i 荣耀版 121KM尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18340292,武汉,2024年 , 0.50万公里,0,17.98万,13.98万,汉DM 2024款 DM-i 荣耀版 121KM尊贵型,武汉,2024年7月,自动,17.98万,比亚迪,中大型车,插电式混合动力,1.5T 139马力 L4 插电式混动,101,121,102(139Ps),145(197Ps),316,185,1497,插电式混动 197马力,145
海豚 2023款 自由版,比亚迪,https://www.dongchedi.com/usedcar/18016749,南京,2023年 , 2.20万公里,1,11.68万,6.68万,海豚 2023款 自由版,南京,2023年7月,自动,11.68万,比亚迪,小型车,纯电动,纯电动 95马力,420,快充0.5小时 慢充6.41小时,电动车单速变速箱,4125x1770x1570,150,1.2,永磁/同步,磷酸铁锂电池,比亚迪
宝马i5 2024款 eDrive35L 尊享型 M运动套装,宝马,https://www.dongchedi.com/usedcar/17984749,潍坊,2024年 , 1.90万公里,0,46.59万,28.60万,宝马i5 2024款 eDrive35L 尊享型 M运动套装,潍坊,2024年2月,自动,46.59万,华晨宝马,中大型车,纯电动,纯电动 286马力,536,536,410,电动车单速变速箱,4门5座三厢车,1.76,励磁/同步,三元锂电池,8年或16万公里
宋PLUS DM 2024款 DM-i 荣耀版 110KM旗舰PLUS,比亚迪,https://www.dongchedi.com/usedcar/17320153,郑州,2024年 , 0.22万公里,1,14.98万,10.58万,宋PLUS DM 2024款 DM-i 荣耀版 110KM旗舰PLUS,郑州,2024年8月,自动,14.98万,比亚迪,紧凑型SUV,插电式混合动力,1.5L 110马力 L4 插电式混动,85,110,81(110Ps),145(197Ps),325,170,1498,插电式混合动力 197马力,145
腾势D9 DM 2022款 970 四驱旗舰型,腾势,https://www.dongchedi.com/usedcar/17232915,杭州,2024年 , 0.72万公里,0,44.58万,31.90万,腾势D9 DM 2022款 970 四驱旗舰型,杭州,2024年1月,自动,44.58万,腾势汽车,中大型MPV,插电式混合动力,1.5T 139马力 L4 插电式混动,145,180,30-80,299,E-CVT无级变速,7.9,1497,插电式混动 292马力,215
海豹DM 2024款 荣耀版 DM-i 1.5L 121KM豪华型,比亚迪,https://www.dongchedi.com/usedcar/18273431,佛山,2024年 , 0.98万公里,0,15.98万,11.50万,海豹DM 2024款 荣耀版 DM-i 1.5L 121KM豪华型,佛山,2024年4月,自动,15.98万,比亚迪,中型车,插电式混合动力,1.5L 110马力 L4 插电式混动,100,121,81(110Ps),145(197Ps),325,180,1498,插电式混动 197马力,145
唐DM 2025款 DM-i 115KM 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18315266,唐山,2025年 , 0.01万公里,0,17.98万,14.60万,唐DM 2025款 DM-i 115KM 尊贵型,唐山,2025年3月,自动,17.98万,比亚迪,中型SUV,插电式混合动力,1.5T 156马力 L4 插电式混合动力,115,115,30-80,115(156Ps),225,5门7座SUV,1498,插电式混动 272马力,200
长安启源A06 2024款 低配版,长安启源,https://www.dongchedi.com/usedcar/18260668,邯郸,2023年 , 0.86万公里,0,暂无报价,7.78万,长安启源A06 2024款 低配版,邯郸,2023年11月,自动,暂无报价,,,,,,,,,,,,,
ZEEKR X 2024款 五座四驱版,极氪,https://www.dongchedi.com/usedcar/18013701,济南,2024年 , 0.24万公里,1,20.00万,13.78万,ZEEKR X 2024款 五座四驱版,济南,2024年1月,自动,20万,极氪,紧凑型SUV,纯电动,纯电动 428马力,512,512,315(428Ps),543,4450x1836x1572,14.4,永磁/同步,三元锂电池,8年或20万公里(首任车主不限年限/里程，责任免除条款以官方为准)
智己LS6 2023款 Max 长续航版,智己汽车,https://www.dongchedi.com/usedcar/17629672,广州,2023年 , 1.90万公里,0,24.99万,16.68万,智己LS6 2023款 Max 长续航版,广州,2023年12月,自动,24.99万,智己汽车,中大型SUV,纯电动,纯电动 340马力,680,680,250(340Ps),450,4904x1988x1669,15.1,永磁/同步,三元锂电池,8年或24万公里
零跑C11 2024款 580尊享版,零跑汽车,https://www.dongchedi.com/usedcar/18274380,温州,2024年 , 0.90万公里,0,15.88万,11.98万,零跑C11 2024款 580尊享版,温州,2024年8月,自动,15.88万,零跑汽车,中型SUV,纯电动,纯电动 272马力,580,580,360,电动车单速变速箱,5门5座SUV,1.76,永磁/同步,磷酸铁锂电池,8年或15万公里
Model 3 2022款 后轮驱动版,特斯拉,https://www.dongchedi.com/usedcar/18004621,成都,2022年 , 4.70万公里,0,23.19万,14.68万,Model 3 2022款 后轮驱动版,成都,2022年3月,自动,23.19万,特斯拉中国,中型车,纯电动,纯电动 264马力,556,556,340,电动车单速变速箱,4门5座三厢车,1.41,永磁/同步,磷酸铁锂电池,8年或16万公里
汉DM 2025款 DM-i 125KM尊荣型,比亚迪,https://www.dongchedi.com/usedcar/18068545,郑州,2024年 , 0.30万公里,0,19.58万,14.88万,汉DM 2025款 DM-i 125KM尊荣型,郑州,2024年10月,自动,19.58万,比亚迪,中大型车,插电式混合动力,1.5T 156马力 L4 插电式混动,102,102,,115(156Ps),225,4门5座三厢车,1498,插电式混动 272马力,200
理想L7 2023款 Air版,理想汽车,https://www.dongchedi.com/usedcar/18349998,福州,2023年 , 2.60万公里,0,30.18万,21.80万,理想L7 2023款 Air版,福州,2023年5月,自动,30.18万,理想汽车,中大型SUV,增程式,增程式 449马力,175,175,"●
400V",快充0.5小时 慢充6.5小时,330(449Ps),5门5座SUV,1496,增程式 449马力,330
宋L DM 2024款 DM-i 112KM超越型,比亚迪,https://www.dongchedi.com/usedcar/17850140,深圳,2024年 , 1.01万公里,0,15.58万,12.68万,宋L DM 2024款 DM-i 112KM超越型,深圳,2024年9月,自动,15.58万,比亚迪,中型SUV,插电式混合动力,1.5L 101马力 L4 插电式混动,91,91,74(101Ps),160(218Ps),260,180,1498,插电式混动 218马力,160
唐DM 2023款 DM-i 冠军版 112KM 尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18144904,唐山,2023年 , 3.20万公里,1,20.98万,11.90万,唐DM 2023款 DM-i 冠军版 112KM 尊贵型,唐山,2023年7月,自动,20.98万,比亚迪,中型SUV,插电式混合动力,1.5T 139马力 L4 插电式混动,95,112,102(139Ps),160(218Ps),325,180,1497,插电式混动 218马力,160
腾势D9 DM 2022款 970 四驱旗舰型,腾势,https://www.dongchedi.com/usedcar/17682155,青岛,2024年 , 2万公里,0,44.58万,29.30万,腾势D9 DM 2022款 970 四驱旗舰型,青岛,2024年3月,自动,44.58万,腾势汽车,中大型MPV,插电式混合动力,1.5T 139马力 L4 插电式混动,145,180,30-80,299,E-CVT无级变速,7.9,1497,插电式混动 292马力,215
Cayenne E-Hybrid 2023款 Cayenne E-Hybrid 2.0T,保时捷,https://www.dongchedi.com/usedcar/12487637,成都,2023年 , 0.55万公里,2,87.80万,69.80万,Cayenne E-Hybrid 2023款 Cayenne E-Hybrid 2.0T,成都,2023年5月,自动,87.8万,保时捷,中大型SUV,插电式混合动力,2.0T 251马力 L4 插电式混动,44,44,600,8挡手自一体,5门5座SUV,24.2,1984,插电式混动 136马力,100
别克E5 2023款 臻享标准续航版,别克,https://www.dongchedi.com/usedcar/17557013,广州,2023年 , 2.10万公里,0,20.39万,12.98万,别克E5 2023款 臻享标准续航版,广州,2023年5月,自动,20.39万,上汽通用别克,中大型SUV,纯电动,纯电动 245马力,545,545,330,电动车单速变速箱,5门5座SUV,13.5,永磁/同步,三元锂电池,终身质保(首任非运营车主)
问界M7 2024款 Ultra五座四驱智驾版,AITO,https://www.dongchedi.com/usedcar/17831361,武汉,2025年 , 0.01万公里,0,30.98万,27.58万,问界M7 2024款 Ultra五座四驱智驾版,武汉,2025年1月,自动,30.98万,赛力斯汽车,中大型SUV,增程式,增程式 449马力,162,175,快充0.5小时 慢充5小时,30-80,660,190,1499,增程式 449马力,330
