标题,品牌,详情链接,城市,购买年份,里程,过户次数,原价,售价
传祺M8 2021款 大师系列 390T 至尊版,广汽传祺,https://www.dongchedi.com/usedcar/17066535,呼和浩特,2021年 , 6.42万公里,2,25.28万,15.61万
奥迪A4L 2010款 2.0 TFSI 舒适型,奥迪,https://www.dongchedi.com/usedcar/18461744,上海,2010年 , 11万公里,0,32.99万,2.78万
斯派卡 2018款 1.5L 手动豪华型,野马汽车,https://www.dongchedi.com/usedcar/18451146,成都,2019年 , 5.40万公里,2,7.58万,1.88万
福克斯 2012款 三厢 1.6L 手动舒适型,福特,https://www.dongchedi.com/usedcar/18401592,上海,2012年 , 12万公里,0,11.99万,0.99万
奔驰E级 2022款 改款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18353137,太原,2022年 , 5.90万公里,0,49.47万,34.80万
君威 2010款 2.0L 世博版,别克,https://www.dongchedi.com/usedcar/18346919,上海,2010年 , 9.10万公里,0,20.39万,0.88万
奥迪Q2L 2018款 35TFSI 时尚动感型 国VI,奥迪,https://www.dongchedi.com/usedcar/18322792,广州,2020年 , 6.40万公里,0,23.84万,9.88万
现代ix35 2019款 2.0L 自动两驱智勇·畅享版 国V,现代,https://www.dongchedi.com/usedcar/18311411,威海,2019年 , 9.04万公里,0,13.99万,5.78万
阿特兹 2018款 2.5L 蓝天运动版 国V,马自达,https://www.dongchedi.com/usedcar/18288082,东莞,2018年 , 6.80万公里,0,19.98万,8.28万
奔驰R级 2011款 R 350 L 4MATIC,奔驰,https://www.dongchedi.com/usedcar/18273021,深圳,2013年 , 19万公里,1,79.80万,6.68万
宝马7系 2011款 750Li xDrive,宝马,https://www.dongchedi.com/usedcar/18074243,武汉,2012年 , 12万公里,0,211.80万,9.30万
宝马3系 2022款 325Li M运动曜夜套装,宝马,https://www.dongchedi.com/usedcar/17957519,佛山,2022年 , 6万公里,2,35.89万,22.28万
缤瑞 2024款 缤瑞COOL 1.5T DCT冠军版,吉利汽车,https://www.dongchedi.com/usedcar/17388592,北京,2024年 , 1.85万公里,0,8.98万,6.68万
宝马4系 2021款 425i 敞篷M运动套装,宝马,https://www.dongchedi.com/usedcar/17155938,杭州,2022年 , 5.10万公里,1,46.88万,32.88万
冠道 2020款 370 TURBO 9AT 豪华版,本田,https://www.dongchedi.com/usedcar/18476803,长沙,2023年 , 2.50万公里,0,27.98万,18.58万
本田CR-V 2023款 240TURBO CVT两驱活力5座版,本田,https://www.dongchedi.com/usedcar/18360523,海口,2023年 , 1.27万公里,0,18.59万,13.86万
MINI 2016款 2.0T COOPER S,MINI,https://www.dongchedi.com/usedcar/18232986,上海,2017年 , 7万公里,2,27.88万,10.50万
科鲁泽 2022款 320 自动悦享版,雪佛兰,https://www.dongchedi.com/usedcar/18197294,南京,2022年 , 3.88万公里,0,11.19万,4.66万
迈凯伦650S 2014款 3.8T Spider,迈凯伦,https://www.dongchedi.com/usedcar/18117550,温州,2016年 , 5.50万公里,0,406.80万,68.88万
领克01 2023款 2.0TD 两驱型Pro,领克,https://www.dongchedi.com/usedcar/18043870,昆明,2023年 , 1.18万公里,0,16.98万,11.98万
奔驰E级 2022款 改款 E 300 L 豪华型 运动轿车,奔驰,https://www.dongchedi.com/usedcar/17619968,广州,2022年 , 4.40万公里,0,49.47万,32.88万
凯迪拉克XT4 2018款 28T 四驱领先型,凯迪拉克,https://www.dongchedi.com/usedcar/16352250,湖州,2019年 , 8.58万公里,0,30.97万,10.38万
标致3008 2015款 1.6THP 自动至尚版,标致,https://www.dongchedi.com/usedcar/18486422,北京,2015年 , 8.30万公里,0,22.07万,3.78万
奕炫MAX 2022款 1.5T 暗夜锋芒版,东风风神,https://www.dongchedi.com/usedcar/18483820,苏州,2022年 , 3.40万公里,0,11.79万,4.95万
马自达6 2012款 2.0L 自动时尚型,马自达,https://www.dongchedi.com/usedcar/18470377,徐州,2013年 , 17万公里,2,17.98万,1.60万
凯迪拉克ATS-L 2017款 28T 时尚型,凯迪拉克,https://www.dongchedi.com/usedcar/18405270,上海,2018年 , 4.70万公里,0,29.38万,7.48万
思域 2022款 240TURBO CVT劲骋版,本田,https://www.dongchedi.com/usedcar/18253600,佛山,2023年 , 3.01万公里,2,13.99万,8.18万
宝马X1 2018款 sDrive18Li 尊享型,宝马,https://www.dongchedi.com/usedcar/17795946,呼和浩特,2018年 , 8.84万公里,1,30.38万,8.98万
翼虎 2017款 EcoBoost 245 四驱豪翼型,福特,https://www.dongchedi.com/usedcar/17790724,呼和浩特,2017年 , 12.88万公里,1,24.58万,5.22万
菱智 2013款 V3 1.5L 7座豪华型,东风风行,https://www.dongchedi.com/usedcar/17441543,深圳,2015年 , 5万公里,0,6.49万,1.38万
宝马5系 2014款 525Li 风尚设计套装,宝马,https://www.dongchedi.com/usedcar/17382266,惠州,2014年 , 12.38万公里,2,49.96万,8.60万
五菱星驰 2023款 1.5L CVT畅爽型,五菱汽车,https://www.dongchedi.com/usedcar/17012368,哈尔滨,2023年 , 2.28万公里,0,6.58万,4.38万
奔驰S级 2008款 S 500 L,奔驰,https://www.dongchedi.com/usedcar/16705815,广州,2009年 , 21.20万公里,0,209.80万,9.88万
享域 2019款 180Turbo CVT畅享版 国V,本田,https://www.dongchedi.com/usedcar/16335802,沈阳,2019年 , 3.51万公里,0,11.23万,4.25万
锐界(进口) 2011款 3.5L 尊锐型,福特,https://www.dongchedi.com/usedcar/16304225,北京,2011年 , 13.20万公里,1,42.98万,3.88万
别克GL8 2021款 ES陆尊 653T 尊享型,别克,https://www.dongchedi.com/usedcar/16249481,合肥,2021年 , 6.41万公里,2,33.99万,19.86万
凯迪拉克XTS 2015款 28T 舒适型,凯迪拉克,https://www.dongchedi.com/usedcar/18486210,苏州,2015年 , 9.10万公里,0,34.99万,4.68万
比亚迪S7 2016款 2.0T 自动尊贵型,比亚迪,https://www.dongchedi.com/usedcar/18477270,苏州,2016年 , 6.60万公里,0,12.99万,2.28万
奔驰A级(进口) 2011款 A 160,奔驰,https://www.dongchedi.com/usedcar/18457064,广州,2011年 , 11.01万公里,0,23.80万,2.18万
帕萨特 2014款 1.8TSI DSG御尊版,大众,https://www.dongchedi.com/usedcar/18452678,青岛,2015年 , 8万公里,2,23.98万,4.18万
雅阁 2007款 2.4L 自动豪华版,本田,https://www.dongchedi.com/usedcar/18437841,韶关,2007年 , 18.20万公里,3,25.68万,1.28万
MG6 2021款 1.5T 自动领潮智装版,名爵,https://www.dongchedi.com/usedcar/18435415,苏州,2021年 , 3.20万公里,0,12.28万,4.68万
航海家 2023款 2.0T 四驱 尊睿版,林肯,https://www.dongchedi.com/usedcar/18415872,沈阳,2024年 , 1.08万公里,0,37.88万,26.93万
帝豪 2025款 第4代 1.5L 手动龙腾版,吉利汽车,https://www.dongchedi.com/usedcar/18400715,石家庄,2025年 , 0.11万公里,0,6.99万,5.25万
影豹 2021款 270T J15版,广汽传祺,https://www.dongchedi.com/usedcar/18387192,广州,2022年 , 5.45万公里,0,11.80万,8.38万
雅阁 2022款 260TURBO 豪华版,本田,https://www.dongchedi.com/usedcar/18363093,台州,2022年 , 2.46万公里,0,19.28万,13.68万
荣威i5 2019款 1.5L  自动4G互联领豪版 国VI,荣威,https://www.dongchedi.com/usedcar/18351538,长沙,2020年 , 3.59万公里,0,8.79万,2.62万
奔驰C级 2011款 C 200 CGI 时尚型,奔驰,https://www.dongchedi.com/usedcar/18339578,东莞,2013年 , 11.30万公里,0,38.80万,3.58万
奔驰E级 2015款 改款 E 260 L 运动豪华型,奔驰,https://www.dongchedi.com/usedcar/18314481,苏州,2016年 , 11万公里,0,54.90万,9.58万
哈弗H1 2015款 1.5L 手动豪华型,哈弗,https://www.dongchedi.com/usedcar/18256589,北京,2015年 , 9.29万公里,1,7.29万,1.88万
奥迪A6L 2024款 45 TFSI quattro 尊享动感型,奥迪,https://www.dongchedi.com/usedcar/18253712,西安,2024年 , 2.70万公里,0,49.98万,33.50万
奥迪A6L 2024款 45 TFSI 臻选动感型,奥迪,https://www.dongchedi.com/usedcar/18104430,西安,2024年 , 2.70万公里,0,45.49万,30.50万
宝马4系 2022款 改款 425i M运动曜夜套装,宝马,https://www.dongchedi.com/usedcar/18091170,东莞,2023年 , 4万公里,0,40.69万,27.26万
星越L 2021款 2.0TD DCT EVO两驱尊贵型,吉利汽车,https://www.dongchedi.com/usedcar/18018798,昆明,2023年 , 2.58万公里,1,15.52万,11.68万
奥迪A4L 2013款 35 TFSI 自动舒适型,奥迪,https://www.dongchedi.com/usedcar/17974532,成都,2013年 , 8.30万公里,0,32.99万,4.38万
马自达CX-5 2013款 2.0L 自动两驱舒适型,马自达,https://www.dongchedi.com/usedcar/16929611,惠州,2014年 , 13.90万公里,2,18.38万,3.98万
君威 2015款 1.6T 精英技术型,别克,https://www.dongchedi.com/usedcar/16443308,东莞,2017年 , 10.30万公里,0,20.99万,3.68万
凯迪拉克XTS 2015款 28T 精英型,凯迪拉克,https://www.dongchedi.com/usedcar/18491926,苏州,2015年 , 9.50万公里,0,36.99万,4.99万
大7 SUV 2012款 2.2T 两驱旗舰型,纳智捷,https://www.dongchedi.com/usedcar/18408035,深圳,2012年 , 15万公里,1,25.28万,1.38万
奔驰E级 2020款 E 300 L 时尚型,奔驰,https://www.dongchedi.com/usedcar/18391203,南昌,2020年 , 5.11万公里,1,46.58万,27.43万
奔驰E级 2022款 E 300 L 时尚型 轿车,奔驰,https://www.dongchedi.com/usedcar/18332259,佛山,2022年 , 3.30万公里,2,47.99万,34.20万
宝来 2019款 1.5L 自动时尚型,大众,https://www.dongchedi.com/usedcar/18328053,邯郸,2019年 , 4.57万公里,0,12.20万,5.68万
轩逸 2022款 1.6L XL CVT悦享版,日产,https://www.dongchedi.com/usedcar/18323818,东莞,2022年 , 2.10万公里,0,12.99万,7.68万
夏朗 2016款 380TSI 舒享型 7座,大众,https://www.dongchedi.com/usedcar/18310386,长沙,2017年 , 14.60万公里,0,29.58万,7.68万
大通G50 2019款 1.5T 自动豪华版 国VI,上汽大通MAXUS,https://www.dongchedi.com/usedcar/18299482,邯郸,2020年 , 6.83万公里,0,12.38万,6.29万
锐界 2018款 EcoBoost 245 两驱精锐型 5座 国V,福特,https://www.dongchedi.com/usedcar/18288287,青岛,2018年 , 7.51万公里,2,22.98万,7.88万
奥迪A4L 2020款 40 TFSI 豪华致雅型,奥迪,https://www.dongchedi.com/usedcar/18254172,南宁,2021年 , 6.81万公里,1,34.38万,17.43万
宝马2系(进口) 2018款 220i 运动设计套装,宝马,https://www.dongchedi.com/usedcar/18209526,南京,2019年 , 7.40万公里,0,24.98万,8.58万
君威 2012款 2.0T 豪华运动版,别克,https://www.dongchedi.com/usedcar/18049353,苏州,2013年 , 9.80万公里,0,25.99万,2.45万
奥迪Q5 2013款 40 TFSI 舒适型,奥迪,https://www.dongchedi.com/usedcar/17951896,汕头,2014年 , 12.60万公里,1,48.19万,6.50万
星越L 2021款 2.0TD DCT EVO两驱智尊型,吉利汽车,https://www.dongchedi.com/usedcar/17374075,济南,2022年 , 3.72万公里,0,16.32万,10.98万
宝马7系 2011款 730Li典雅型,宝马,https://www.dongchedi.com/usedcar/15804937,佛山,2013年 , 16.30万公里,0,89.80万,8.50万
福瑞迪 2014款 1.6L MT GL,起亚,https://www.dongchedi.com/usedcar/18479743,唐山,2015年 , 12.08万公里,0,9.88万,1.38万
荣威RX5 2018款 20T 两驱自动互联网智惠版,荣威,https://www.dongchedi.com/usedcar/18451043,温州,2017年 , 4.50万公里,0,14.38万,3.18万
揽胜 2005款 4.4,路虎,https://www.dongchedi.com/usedcar/18437708,北京,2005年 , 24万公里,4,133.00万,7.38万
宝骏560 2016款 1.8L iAMT豪华型,宝骏,https://www.dongchedi.com/usedcar/18421021,成都,2016年 , 14.60万公里,0,8.78万,1.58万
君越 2011款 2.4L SIDI舒适版,别克,https://www.dongchedi.com/usedcar/18412974,烟台,2013年 , 15万公里,2,22.19万,2.18万
哈弗H6 2015款 升级版 1.5T 手动两驱都市型,哈弗,https://www.dongchedi.com/usedcar/18405026,成都,2015年 , 8.50万公里,0,9.98万,1.39万
凯迪拉克XT5 2018款 25T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18402020,长沙,2019年 , 11万公里,0,38.99万,8.62万
迈腾 2013款 1.8TSI 领先型,大众,https://www.dongchedi.com/usedcar/18331739,上海,2013年 , 10.50万公里,0,21.98万,2.16万
标致508L 2022款 400THP PureTech 驾控版,标致,https://www.dongchedi.com/usedcar/18195968,沈阳,2022年 , 1.94万公里,0,18.97万,10.48万
坦克300 2021款 越野版 2.0T 征服者,坦克,https://www.dongchedi.com/usedcar/18065641,北京,2021年 , 1.63万公里,0,21.38万,16.18万
君威 2009款 2.4L 旗舰版,别克,https://www.dongchedi.com/usedcar/17130127,苏州,2010年 , 9.60万公里,0,24.59万,1.38万
奥迪A3 2018款 30周年年型 Limousine 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/16455690,沈阳,2018年 , 7.80万公里,1,19.65万,6.78万
马自达3星骋 2015款 三厢 1.6L 自动精英型,马自达,https://www.dongchedi.com/usedcar/15020851,温州,2016年 , 7万公里,0,11.08万,2.46万
辉腾 2012款 3.0L 行政型,大众,https://www.dongchedi.com/usedcar/18476427,苏州,2014年 , 14.90万公里,0,80.92万,8.08万
别克GL8 2014款 3.0L XT豪华商务旗舰版,别克,https://www.dongchedi.com/usedcar/18459893,苏州,2016年 , 15万公里,0,39.99万,7.30万
宝马7系 2009款 740Li豪华型,宝马,https://www.dongchedi.com/usedcar/18459787,北京,2010年 , 16万公里,2,137.80万,7.98万
凯迪拉克XTS 2018款 28T 精英型,凯迪拉克,https://www.dongchedi.com/usedcar/18394157,苏州,2018年 , 8.10万公里,0,31.99万,8.50万
唯雅诺(进口) 2011款 3.5L 125周年纪念版 7座,奔驰,https://www.dongchedi.com/usedcar/18389713,太原,2015年 , 13万公里,0,86.80万,8.80万
凯迪拉克ATS(进口) 2014款 28T 豪华型,凯迪拉克,https://www.dongchedi.com/usedcar/18383985,上海,2014年 , 10.60万公里,1,36.80万,5.18万
长安UNI-V 2022款 1.5T 尊贵型,长安,https://www.dongchedi.com/usedcar/18342607,宁波,2023年 , 3.05万公里,1,11.69万,8.88万
奔驰E级 2020款 改款 E 300 L 运动时尚型,奔驰,https://www.dongchedi.com/usedcar/18216651,重庆,2020年 , 7.95万公里,0,46.58万,23.88万
奔驰E级 2021款 E 300 L 时尚型 轿车,奔驰,https://www.dongchedi.com/usedcar/18197117,苏州,2021年 , 14.42万公里,1,46.78万,25.98万
高尔夫 2023款 改款 280TSI DSG R-Line Lite,大众,https://www.dongchedi.com/usedcar/18187621,北京,2024年 , 1.47万公里,0,16.28万,12.36万
奔驰E级 2021款 改款 E 260 L 轿车,奔驰,https://www.dongchedi.com/usedcar/17988444,西安,2021年 , 4.61万公里,1,43.99万,29.80万
红旗H5经典 2019款 30TD 智联韵动版,红旗,https://www.dongchedi.com/usedcar/17964762,成都,2019年 , 7万公里,0,17.18万,5.98万
奔驰E级 2022款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18487394,广州,2022年 , 3.20万公里,0,49.89万,35.98万
航海家(进口) 2019款 2.7T 四驱尊耀版 国VI,林肯,https://www.dongchedi.com/usedcar/18483474,杭州,2020年 , 8.30万公里,0,51.88万,13.90万
马自达6 2011款 2.0L 自动时尚型,马自达,https://www.dongchedi.com/usedcar/18483368,北京,2011年 , 18.81万公里,1,17.98万,1.10万
凯美瑞 2023款 2.0S 骑士版,丰田,https://www.dongchedi.com/usedcar/18474682,东莞,2023年 , 2.60万公里,0,20.58万,13.98万
福克斯 2013款 两厢经典 1.8L 手动基本型,福特,https://www.dongchedi.com/usedcar/18455509,上海,2014年 , 12万公里,0,9.98万,1.02万
奥迪A5 2016款 改款 Sportback 45 TFSI 舒适型,奥迪,https://www.dongchedi.com/usedcar/18449945,苏州,2016年 , 7.66万公里,0,43.80万,9.98万
星瑞 2023款 1.5T 扶摇版,吉利汽车,https://www.dongchedi.com/usedcar/18415869,石家庄,2024年 , 0.20万公里,0,10.87万,8.73万
揽胜极光 2015款 2.0T 五门智耀版,路虎,https://www.dongchedi.com/usedcar/18405436,汕头,2016年 , 9.30万公里,0,46.80万,6.80万
哈弗M6 2018款 改款 1.5T DCT两驱精英型,哈弗,https://www.dongchedi.com/usedcar/18378161,成都,2019年 , 2.23万公里,0,8.10万,5.18万
君威 2010款 2.0L 世博版,别克,https://www.dongchedi.com/usedcar/18372910,北京,2012年 , 14.30万公里,2,20.39万,1.28万
荣威RX5 2018款 20T 两驱自动互联网智惠版,荣威,https://www.dongchedi.com/usedcar/18369911,上海,2017年 , 5.60万公里,0,14.38万,2.68万
传祺GS5 2012款 2.0L 手动两驱周年限量版,广汽传祺,https://www.dongchedi.com/usedcar/18364094,武汉,2013年 , 12万公里,0,13.98万,0.88万
逸动 2022款 PLUS 1.6L GDI CVT豪华型,长安,https://www.dongchedi.com/usedcar/18317956,南宁,2022年 , 3万公里,0,8.99万,5.38万
金刚财富 2015款 1.5L 进取型,吉利汽车,https://www.dongchedi.com/usedcar/18315516,惠州,2014年 , 12.80万公里,1,4.19万,0.60万
傲跑 2017款 1.6L 自动傲雅15周年特别版,起亚,https://www.dongchedi.com/usedcar/18307971,成都,2018年 , 5.60万公里,0,14.08万,4.35万
奥迪A3 2017款 Limousine 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/18298022,青岛,2017年 , 7.90万公里,1,19.40万,6.78万
科沃兹 2018款 320 自动欣享版,雪佛兰,https://www.dongchedi.com/usedcar/18284220,沧州,2018年 , 6.48万公里,2,8.89万,3.85万
宝马5系 2017款 525Li 豪华设计套装,宝马,https://www.dongchedi.com/usedcar/18123351,台州,2016年 , 9.25万公里,1,49.96万,13.38万
奔驰E级 2021款 E 300 L 时尚型 轿车,奔驰,https://www.dongchedi.com/usedcar/18112372,徐州,2021年 , 3.83万公里,0,46.78万,33.80万
名图 2019款 1.8L 自动智能型GLS 国VI,现代,https://www.dongchedi.com/usedcar/18107541,东莞,2020年 , 5万公里,0,14.98万,6.48万
奔驰E级 2023款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18083819,东莞,2023年 , 3.60万公里,0,50.41万,38.50万
宝马X5(进口) 2015款 xDrive35i中国限量版,宝马,https://www.dongchedi.com/usedcar/17945750,深圳,2016年 , 10万公里,0,95.80万,17.68万
红旗HS5 2022款 改款 2.0T 智联旗享版,红旗,https://www.dongchedi.com/usedcar/14565132,重庆,2022年 , 4.33万公里,1,19.98万,10.28万
领克01 2017款 2.0T 两驱型Pro版,领克,https://www.dongchedi.com/usedcar/18497309,温州,2018年 , 4万公里,1,17.58万,5.50万
奥迪Q7 2013款 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/18482678,昆明,2014年 , 12万公里,6,82.10万,8.60万
捷途旅行者 2023款 2.0TD 四驱 穿越PRO+,捷途,https://www.dongchedi.com/usedcar/18470637,福州,2024年 , 1.90万公里,0,17.99万,13.80万
科鲁泽 2019款 Redline 320T 双离合欢快版,雪佛兰,https://www.dongchedi.com/usedcar/18465953,苏州,2020年 , 4.58万公里,0,10.49万,3.28万
奔驰E级 2023款 E 300 L 豪华型 轿车,奔驰,https://www.dongchedi.com/usedcar/18461232,苏州,2023年 , 1.54万公里,0,50.41万,38.58万
长安CS75 PLUS 2023款 第三代 1.5T 自动豪华型,长安,https://www.dongchedi.com/usedcar/18455674,成都,2023年 , 1.79万公里,0,12.49万,9.56万
MG6 2017款 20T 自动豪华智联版,名爵,https://www.dongchedi.com/usedcar/18450084,深圳,2018年 , 4.20万公里,0,11.78万,3.68万
轩逸 2023款 1.6L CVT悦享版,日产,https://www.dongchedi.com/usedcar/18423758,北京,2023年 , 2.35万公里,1,12.99万,8.88万
宝马X1 2020款 sDrive20Li 时尚型,宝马,https://www.dongchedi.com/usedcar/18417201,成都,2020年 , 6.15万公里,1,27.88万,9.88万
传祺GS8 2022款 领航系列 2.0TGDI 两驱豪华智联版7座,广汽传祺,https://www.dongchedi.com/usedcar/18415847,成都,2022年 , 5.66万公里,1,18.68万,13.56万
本田CR-V 2021款 240TURBO CVT两驱风尚版,本田,https://www.dongchedi.com/usedcar/18400511,常州,2021年 , 6.15万公里,0,20.78万,13.34万
雅阁 2018款 260TURBO 精英版 国VI,本田,https://www.dongchedi.com/usedcar/18327793,东莞,2021年 , 6万公里,0,18.98万,11.38万
凌渡 2019款 230TSI DSG风尚版 国V,大众,https://www.dongchedi.com/usedcar/18266996,重庆,2019年 , 7.20万公里,0,15.59万,6.78万
荣威i6 2020款 PLUS 1.6L CVT 4G互联荣耀旗舰版,荣威,https://www.dongchedi.com/usedcar/18257121,合肥,2020年 , 5.03万公里,0,10.98万,4.79万
奇骏 2019款 2.0L CVT智联舒适版 2WD,日产,https://www.dongchedi.com/usedcar/18256193,呼和浩特,2019年 , 8.06万公里,0,19.93万,8.68万
博越 2022款 博越X 1.8TD DCT智慧型,吉利汽车,https://www.dongchedi.com/usedcar/18229204,成都,2022年 , 1.73万公里,2,12.28万,7.88万
凯迪拉克ATS-L 2017款 28T 时尚型,凯迪拉克,https://www.dongchedi.com/usedcar/18157069,成都,2017年 , 5.38万公里,0,29.38万,6.75万
揽胜运动版 2016款 3.0 V6 SC HSE DYNAMIC,路虎,https://www.dongchedi.com/usedcar/18093109,西安,2017年 , 14.80万公里,2,109.80万,29.80万
福克斯 2015款 三厢 EcoBoost 125 自动超能风尚型,福特,https://www.dongchedi.com/usedcar/18482262,上海,2015年 , 13万公里,0,13.98万,2.08万
蒙迪欧-致胜 2011款 2.0T GTDi200时尚型,福特,https://www.dongchedi.com/usedcar/18481665,深圳,2013年 , 14万公里,0,19.98万,2.18万
Panamera 2010款 Panamera 4 3.6L,保时捷,https://www.dongchedi.com/usedcar/18480907,西安,2012年 , 7.80万公里,2,125.20万,18.88万
比亚迪S7 2016款 2.0T 自动尊贵型Plus,比亚迪,https://www.dongchedi.com/usedcar/18462758,北京,2017年 , 5万公里,0,13.69万,3.20万
哈弗H6 2022款 第三代 1.5T 自动两驱Max,哈弗,https://www.dongchedi.com/usedcar/18345341,大连,2024年 , 1.68万公里,1,12.89万,9.36万
奥迪Q3 2013款 35 TFSI 进取型,奥迪,https://www.dongchedi.com/usedcar/18311491,东莞,2013年 , 10万公里,0,28.50万,4.30万
世嘉 2013款 三厢 1.6L 自动品尚型,雪铁龙,https://www.dongchedi.com/usedcar/18306957,无锡,2013年 , 14万公里,0,11.78万,1.28万
大迈X7 2017款 1.8T DCT尊贵型,众泰,https://www.dongchedi.com/usedcar/18278429,苏州,2017年 , 8.60万公里,0,13.29万,1.98万
奥迪A6L 2024款 45 TFSI quattro 臻选致雅型,奥迪,https://www.dongchedi.com/usedcar/18268622,西安,2024年 , 2.40万公里,0,47.99万,32.98万
帕萨特 2024款 330TSI 星空精英版,大众,https://www.dongchedi.com/usedcar/18243811,杭州,2024年 , 1.83万公里,0,20.59万,14.96万
迈锐宝XL 2022款 Redline 550T 自动锐联版,雪佛兰,https://www.dongchedi.com/usedcar/18193337,上海,2022年 , 2万公里,0,20.49万,8.98万
领克02 2019款 高能版 2.0T 自动两驱耀Pro版 国VI,领克,https://www.dongchedi.com/usedcar/18155336,南宁,2020年 , 5.68万公里,1,16.88万,7.41万
奔驰E级 2012款 E 200 L CGI优雅型,奔驰,https://www.dongchedi.com/usedcar/18123009,青岛,2012年 , 17万公里,3,43.80万,4.78万
本田CR-V 2017款 240TURBO CVT两驱风尚版,本田,https://www.dongchedi.com/usedcar/14953779,南宁,2018年 , 5.05万公里,1,20.38万,9.78万
揽胜星脉 2017款 P380 首发限量版,路虎,https://www.dongchedi.com/usedcar/18488303,温州,2018年 , 7万公里,0,104.80万,20.28万
途观 2013款 1.8TSI 自动两驱豪华型,大众,https://www.dongchedi.com/usedcar/18485825,深圳,2014年 , 12.50万公里,1,25.98万,3.98万
魏牌 VV7 2017款 VV7c 2.0T 旗舰型,魏牌,https://www.dongchedi.com/usedcar/18464155,上海,2017年 , 6万公里,0,18.58万,4.38万
奔驰S级AMG 2010款 AMG S 65,奔驰,https://www.dongchedi.com/usedcar/18456287,北京,2010年 , 13万公里,3,329.80万,36.80万
高尔夫 2023款 改款 280TSI DSG R-Line Lite,大众,https://www.dongchedi.com/usedcar/18450637,苏州,2023年 , 1万公里,0,16.28万,12.56万
马自达3星骋 2012款 两厢 1.6L 自动精英型,马自达,https://www.dongchedi.com/usedcar/18439299,温州,2012年 , 9万公里,0,12.88万,1.98万
菲翔 2012款 1.4T 自动悦享版,菲亚特,https://www.dongchedi.com/usedcar/18436514,温州,2013年 , 13万公里,0,12.28万,1.38万
自由客 2014款 2.0L 运动增强版,Jeep,https://www.dongchedi.com/usedcar/18434515,苏州,2014年 , 8万公里,0,22.99万,2.56万
雪铁龙C5 2014款 1.6T 自动尊享型,雪铁龙,https://www.dongchedi.com/usedcar/18420353,武汉,2017年 , 7万公里,0,18.99万,2.88万
蒙迪欧 2013款 2.0L GTDi240豪华运动型,福特,https://www.dongchedi.com/usedcar/18390419,柳州,2015年 , 8.30万公里,0,24.28万,4.68万
Stelvio斯坦维 2017款 2.0T 200HP 豪华版,阿尔法·罗密欧,https://www.dongchedi.com/usedcar/18364111,武汉,2019年 , 9.60万公里,0,42.68万,9.98万
Polo 2018款 1.5L 自动安驾型,大众,https://www.dongchedi.com/usedcar/18318032,南宁,2019年 , 2.20万公里,1,8.99万,4.35万
哈弗H6 2020款 1.5GDIT 自动铂金冠军版,哈弗,https://www.dongchedi.com/usedcar/18265792,南京,2020年 , 4.71万公里,0,12.10万,5.85万
奥迪A4L 2013款 35 TFSI 自动技术型,奥迪,https://www.dongchedi.com/usedcar/18160639,深圳,2014年 , 14.39万公里,0,36.98万,5.68万
雅阁 2018款 260TURBO 精英版 国VI,本田,https://www.dongchedi.com/usedcar/18146651,太原,2020年 , 3.90万公里,0,18.98万,13.05万
领克06 2023款 Remix 1.5T 劲Halo,领克,https://www.dongchedi.com/usedcar/16942663,成都,2024年 , 1.29万公里,0,12.86万,9.38万
途观 2015款 1.8TSI 自动四驱豪华型,大众,https://www.dongchedi.com/usedcar/16826284,青岛,2015年 , 12万公里,1,27.68万,4.19万
英朗 2019款 15T 双离合互联精英型 国VI,别克,https://www.dongchedi.com/usedcar/14067153,深圳,2020年 , 5.60万公里,0,12.89万,3.58万
奥德赛 2008款 2.4L 豪华版,本田,https://www.dongchedi.com/usedcar/18480943,福州,2009年 , 15万公里,0,26.98万,1.98万
奥迪A4L 2018款 30周年年型 40 TFSI 时尚型,奥迪,https://www.dongchedi.com/usedcar/18474036,苏州,2018年 , 4.30万公里,0,34.29万,11.00万
荣威RX8 2018款 30T 两驱旗舰版,荣威,https://www.dongchedi.com/usedcar/18470310,徐州,2019年 , 8万公里,1,17.38万,4.85万
宝马X1 2015款 sDrive18i 领先晋级版,宝马,https://www.dongchedi.com/usedcar/18461389,深圳,2016年 , 8.90万公里,0,31.90万,6.30万
凯迪拉克CT4 2020款 28T 精英型,凯迪拉克,https://www.dongchedi.com/usedcar/18459223,苏州,2020年 , 6.60万公里,0,25.97万,9.38万
凯美瑞 2010款 240G 豪华版,丰田,https://www.dongchedi.com/usedcar/18455331,北京,2009年 , 14万公里,1,22.68万,2.58万
凯越 2013款 1.5L 自动经典型,别克,https://www.dongchedi.com/usedcar/18419014,郑州,2014年 , 9.30万公里,0,10.19万,1.58万
瑞风M5 2016款 2.0T 汽油自动公务版,江汽集团,https://www.dongchedi.com/usedcar/18404082,惠州,2015年 , 4.20万公里,0,16.25万,3.18万
